Number of hits: 1785
File: NWGOLEM3.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR118.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM16.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR321.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR323.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR345.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR645.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR618.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR145.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR118.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWGRIM18.CRE, Name: Grimgnaw, Attribute: Spell=SPPR218.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR145.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR218.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR321.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR323.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR345.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR645.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA12.CRE, Name: Linu, Attribute: Spell=SPPR217.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR145.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR218.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR321.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR323.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR345.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR645.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR740.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR748.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA14.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR145.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR218.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR321.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR323.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR345.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR645.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR623.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA16.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR145.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR218.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR321.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR323.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR345.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR645.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR119.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR245.SPL
File: NWLINA18.CRE, Name: Linu, Attribute: Spell=SPPR618.SPL
File: NWMINH1Y.ITM, Name: No such index, Attribute: Resource=RR#DPDIS.SPL
File: NWMINH1Z.ITM, Name: No such index, Attribute: Resource=RR#DPDIS.SPL
File: NWMORAG4.ITM, Name: Ring, Attribute: Resource=CDSW1H58.SPL
File: NWMORAG4.ITM, Name: Ring, Attribute: Resource=CDMOUND.SPL
File: NWOLEFF.CRE, Name: Oleff, Attribute: Spell=SPPR218.SPL
File: NWOLEFF.CRE, Name: Oleff, Attribute: Spell=SPPR323.SPL
File: NWOLEFF.CRE, Name: Oleff, Attribute: Spell=SPPR321.SPL
File: NWOLEFF2.CRE, Name: Oleff, Attribute: Spell=SPPR218.SPL
File: NWOLEFF2.CRE, Name: Oleff, Attribute: Spell=SPPR323.SPL
File: NWOLEFF2.CRE, Name: Oleff, Attribute: Spell=SPPR321.SPL
File: NWOLEFF3.CRE, Name: Oleff, Attribute: Spell=SPPR218.SPL
File: NWOLEFF3.CRE, Name: Oleff, Attribute: Spell=SPPR323.SPL
File: NWOLEFF3.CRE, Name: Oleff, Attribute: Spell=SPPR321.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=RR#DPDIS.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL661.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL657.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPCL653.SPL
File: NWPSC08M.ITM, Name: <NO TEXT>, Attribute: Resource=SPPSQ5.SPL
File: NWSCRX51.ITM, Name: North Road - to Luskan, Attribute: Icon=NWSPMINA.BAM
File: NWSCRX51.ITM, Name: North Road - to Luskan, Attribute: Icon=NWSPMINA.BAM
File: NWSCRX51.ITM, Name: North Road - to Luskan, Attribute: Icon=NWSPMINA.BAM
File: NWSCRX51.ITM, Name: North Road - to Luskan, Attribute: Resource=NWSPMINI.SPL
File: NWSCRX51.ITM, Name: North Road - to Luskan, Attribute: Resource=NWSPMINI.SPL
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Spell icon=SPPR245C.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: NWSPHEA0.SPL, Name: Healing Touch, Attribute: Icon=SPPR245B.BAM
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUAI.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUWA.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUEA.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#DRUFI.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLSAL.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLWYV.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#PLSPD.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#WOLFI.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#BRBR.SPL
File: SPIN141.SPL, Name: Transformation into Rat, Attribute: Resource=LI#BRBR.ITM
File: SPIN489.SPL, Name: Set Spike Trap, Attribute: Spell icon=SPCL910C.BAM
File: SPIN491.SPL, Name: Set Exploding Trap, Attribute: Spell icon=SPCL911C.BAM
File: SPIN493.SPL, Name: Set Time Trap, Attribute: Spell icon=SPCL912C.BAM
