Number of hits: 1255
File: AARIN1.CRE, Name: Аарин Генд, Attribute: Specifics=Unknown - 127
File: CORPSE5.CRE, Name: Corpse, Attribute: Allegiance=Unknown - 127
File: CREWTD3.CRE, Name: Dryad, Attribute: Race=Unknown - 114
File: CULTISTC.CRE, Name: Странный человек, Attribute: Specifics=Unknown - 77
File: CUSTOM10.CRE, Name: Tavern Patron, Attribute: Animation=UNKNOWN - 0x5D56
File: CUSTOM15.CRE, Name: Клиент (Черные Кинжалы), Attribute: Animation=UNKNOWN - 0x683E
File: CUSTOM28.CRE, Name: Soldier, Attribute: Specifics=Unknown - 4
File: CUSTOM3.CRE, Name: Commoner, Attribute: Animation=UNKNOWN - 0x5D56
File: CUSTOM31.CRE, Name: Soldier, Attribute: Specifics=Unknown - 4
File: CUSTOM8.CRE, Name: Tavern Patron, Attribute: Animation=UNKNOWN - 0x5D57
File: DARANEI.CRE, Name: Дара'ней, Attribute: Specifics=Unknown - 224
File: DARIUS.CRE, Name: Дариус, Attribute: Specifics=Unknown - 42
File: DEADKEM.CRE, Name: Dead, Attribute: Animation=UNKNOWN - 0x5D4F
File: DEGRIAB.CRE, Name: Дергиаб, Attribute: Animation=UNKNOWN - 0x525F
File: DELVAR.CRE, Name: Делвар Ванатар, Attribute: Specifics=Unknown - 204
File: DEMOSPEC.CRE, Name: Demon Knight, Attribute: Specifics=Unknown - 60
File: DOOMSAY5.CRE, Name: Вещун, Attribute: Animation=UNKNOWN - 0x5D4F
File: DURGA.CRE, Name: Дурга, Attribute: Specifics=Unknown - 121
File: EDEGAR.CRE, Name: Эдегар, Attribute: Animation=UNKNOWN - 0x5D4F
File: ELYNWYD.CRE, Name: Элинвид, Attribute: Specifics=Unknown - 224
File: ESCORT01.CRE, Name: Courtesan, Attribute: Animation=UNKNOWN - 0x5D59
File: ESCORT02.CRE, Name: Courtesan, Attribute: Animation=UNKNOWN - 0x5D59
File: EVAINE.CRE, Name: Эвейн, Attribute: Animation=UNKNOWN - 0x6841
File: F_HARPY.CRE, Name: Гарпия, Attribute: Animation=UNKNOWN - 0x5269
File: FASHI.CRE, Name: Фаши, Attribute: Specifics=Unknown - 202
File: FGBOSS.CRE, Name: Король Скрогг, Attribute: Animation=UNKNOWN - 0x504A
File: FGBOSS.CRE, Name: Король Скрогг, Attribute: Specifics=Unknown - 255
File: FGMAG01.CRE, Name: Fire Giant Mage, Attribute: Animation=UNKNOWN - 0x5C03
File: FGMAG01.CRE, Name: Fire Giant Mage, Attribute: Specifics=Unknown - 255
File: FGMAG02.CRE, Name: Fire Giant Mage, Attribute: Specifics=Unknown - 255
File: FGWAR01.CRE, Name: Fire Giant, Attribute: Specifics=Unknown - 255
File: FGWAR02.CRE, Name: Fire Giant, Attribute: Animation=UNKNOWN - 0x5C03
File: FGWAR02.CRE, Name: Fire Giant, Attribute: Specifics=Unknown - 20
File: FINALUF.CRE, Name: Alu-Fiend, Attribute: Animation=UNKNOWN - 0x5243
File: FINALUF.CRE, Name: Alu-Fiend, Attribute: Specifics=Unknown - 99
File: FINBABAU.CRE, Name: Бабау, Attribute: Specifics=Unknown - 99
File: FINBALOR.CRE, Name: Balor, Attribute: Specifics=Unknown - 99
File: FINCAMB2.CRE, Name: Cambion, Attribute: Animation=UNKNOWN - 0x5242
File: FINCAMB2.CRE, Name: Cambion, Attribute: Specifics=Unknown - 99
File: FINGLAB.CRE, Name: Glabrezu, Attribute: Specifics=Unknown - 99
File: FINMARIL.CRE, Name: Marilith, Attribute: Specifics=Unknown - 99
File: FINNABAS.CRE, Name: Nabassu, Attribute: Animation=UNKNOWN - 0x1001
File: FINNABAS.CRE, Name: Nabassu, Attribute: Specifics=Unknown - 99
File: FINSUCC.CRE, Name: Succubus, Attribute: Animation=UNKNOWN - 0x5290
File: FINSUCC.CRE, Name: Succubus, Attribute: Specifics=Unknown - 99
File: GOBKING.CRE, Name: Вождь гоблинов, Attribute: Animation=UNKNOWN - 0x5252
File: GOBKING.CRE, Name: Вождь гоблинов, Attribute: Race=Unknown - 216
File: GOBLINW1.CRE, Name: Goblin, Attribute: Animation=UNKNOWN - 0x5254
File: GOBLINW1.CRE, Name: Goblin, Attribute: Race=Unknown - 216
File: GOBLINW2.CRE, Name: Goblin, Attribute: Animation=UNKNOWN - 0x5253
File: GOBLINW2.CRE, Name: Goblin, Attribute: Race=Unknown - 216
File: GOBLINW3.CRE, Name: Goblin, Attribute: Animation=UNKNOWN - 0x5254
File: GOBLINW3.CRE, Name: Goblin, Attribute: Race=Unknown - 216
File: GOBLINW4.CRE, Name: Goblin, Attribute: Animation=UNKNOWN - 0x5253
File: GOBLINW4.CRE, Name: Goblin, Attribute: Race=Unknown - 216
File: GOBLINW5.CRE, Name: Goblin, Attribute: Animation=UNKNOWN - 0x5253
File: GOBLINW5.CRE, Name: Goblin, Attribute: Race=Unknown - 216
File: GOBLINW6.CRE, Name: Гоблин-снайпер, Attribute: Animation=UNKNOWN - 0x5254
File: GOBLINW6.CRE, Name: Гоблин-снайпер, Attribute: Race=Unknown - 216
File: GORKAN.CRE, Name: Горкан, Attribute: Specifics=Unknown - 121
File: GULGASH.CRE, Name: Гулгаш, Attribute: Specifics=Unknown - 121
File: GUZUD.CRE, Name: Гузуд, Attribute: Specifics=Unknown - 208
File: HALIA.CRE, Name: Галия, Attribute: Specifics=Unknown - 99
File: HARBEN.CRE, Name: Харбен Ашенсмит, Attribute: Kit=Unknown - 0x0002
File: HARPYNW.CRE, Name: Гарпия, Attribute: Animation=UNKNOWN - 0x5269
File: HILLBOSS.CRE, Name: Вождь великанов холмов, Attribute: Animation=UNKNOWN - 0x504A
File: HILLBOSS.CRE, Name: Вождь великанов холмов, Attribute: Specifics=Unknown - 255
File: HILLGIAN.CRE, Name: Великан холмов, Attribute: Animation=UNKNOWN - 0x5C01
File: HILLGIAN.CRE, Name: Великан холмов, Attribute: Specifics=Unknown - 255
File: HOOK1.CRE, Name: Жуткий Ужас, Attribute: Animation=UNKNOWN - 0x525A
File: HRPMATN2.CRE, Name: Гарпия-колдунья, Attribute: Animation=UNKNOWN - 0x5269
File: HRPMATNW.CRE, Name: Гарпия-колдунья, Attribute: Animation=UNKNOWN - 0x5269
File: ILLUSKG3.CRE, Name: Дух-страж воды, Attribute: Animation=UNKNOWN - 0x5039
File: JAREDNW.CRE, Name: Джаред, Attribute: Animation=UNKNOWN - 0x5D4F
File: JAROO.CRE, Name: Джару, Attribute: Animation=UNKNOWN - 0x5D62
File: JEROL.CRE, Name: Джерол, Attribute: Animation=UNKNOWN - 0x5D53
File: JEVON.CRE, Name: Джевон, Attribute: Specifics=Unknown - 2
File: KAOHINON.CRE, Name: Каохинон из Бездны, Attribute: Specifics=Unknown - 203
File: KELLISAI.CRE, Name: Келлисай, Attribute: Specifics=Unknown - 202
File: KURTGOB.CRE, Name: Гоблин-сжигатель книг, Attribute: Animation=UNKNOWN - 0x5257
File: KURTGOB.CRE, Name: Гоблин-сжигатель книг, Attribute: Race=Unknown - 216
File: KURTS08.CRE, Name: Наемник Кровавых Рук, Attribute: Animation=UNKNOWN - 0x6848
File: KURTS08.CRE, Name: Наемник Кровавых Рук, Attribute: Specifics=Unknown - 33
File: KURTSL2.CRE, Name: Наемник Кровавых Рук, Attribute: Animation=UNKNOWN - 0x6848
File: KURTSL2.CRE, Name: Наемник Кровавых Рук, Attribute: Specifics=Unknown - 33
File: LISTEN03.CRE, Name: Житель Чернозерья, Attribute: Animation=UNKNOWN - 0x5D62
File: LIZCORP1.CRE, Name: Corpse, Attribute: Animation=UNKNOWN - 0x5D4F
File: LUSCANW1.CRE, Name: Солдат Лускана, Attribute: Specifics=Unknown - 206
File: LUSCANW2.CRE, Name: Лучник Лускана, Attribute: Specifics=Unknown - 2
File: LUSCANW3.CRE, Name: Командир катапульты, Attribute: Specifics=Unknown - 206
File: MACGSNW.CRE, Name: Огромный скелет-маг, Attribute: Animation=UNKNOWN - 0x5D5A
File: MAGENW2.CRE, Name: Mage, Attribute: Specifics=Unknown - 77
File: MAUREEN.CRE, Name: Морин, Attribute: Animation=UNKNOWN - 0x5D55
File: MELCLEAN.CRE, Name: Милли, Attribute: Animation=UNKNOWN - 0x5D55
File: MELDCUST.CRE, Name: Знатный господин, Attribute: Animation=UNKNOWN - 0x5D60
File: MELDGU03.CRE, Name: Гадкий бес, Attribute: Specifics=Unknown - 121
File: MELDGU04.CRE, Name: Подмастерье Мелданена, Attribute: Animation=UNKNOWN - 0x5D4F
File: MELDGU05.CRE, Name: Подмастерье Мелданена, Attribute: Animation=UNKNOWN - 0x5D4E
File: MELDGU08.CRE, Name: Гадкий бес, Attribute: Specifics=Unknown - 121
File: MELDGU09.CRE, Name: Подмастерье Мелданена, Attribute: Animation=UNKNOWN - 0x5D4F
File: MINNW3.CRE, Name: Minotaur, Attribute: Specifics=Unknown - 208
File: MOOSECL1.CRE, Name: Благочестивый из племени Лося, Attribute: Specifics=Unknown - 231
File: MOOSECU1.CRE, Name: Женщина племени Лося, Attribute: Specifics=Unknown - 231
File: MOOSECU2.CRE, Name: Женщина племени Лося, Attribute: Specifics=Unknown - 231
File: MOOSECU3.CRE, Name: Женщина племени Лося, Attribute: Specifics=Unknown - 231
File: MOOSECU4.CRE, Name: Женщина племени Лося, Attribute: Specifics=Unknown - 231
File: MOOSEDRU.CRE, Name: Шаман племени Лося, Attribute: Animation=UNKNOWN - 0x527E
File: MOOSEDRU.CRE, Name: Шаман племени Лося, Attribute: Specifics=Unknown - 117
File: MORAG1.CRE, Name: Странное видение, Attribute: Animation=UNKNOWN - 0x6847
File: MULLAND.CRE, Name: Мулланд, Attribute: Animation=UNKNOWN - 0x5D62
File: MUTAMIN2.CRE, Name: Mutamin, Attribute: Animation=UNKNOWN - 0x5D53
File: NOB1400D.CRE, Name: Аристократ Чернозерья, Attribute: Animation=UNKNOWN - 0x5D62
File: NOB1400E.CRE, Name: Аристократ Чернозерья, Attribute: Animation=UNKNOWN - 0x5D62
File: NSABISH.CRE, Name: Abishai, Attribute: Animation=UNKNOWN - 0x5B06
File: NURSE.CRE, Name: Санитар, Attribute: Animation=UNKNOWN - 0x5D4F
File: NURSE2.CRE, Name: Сиделка, Attribute: Specifics=Unknown - 77
File: NURSE3.CRE, Name: Сиделка, Attribute: Specifics=Unknown - 77
File: NURSE4.CRE, Name: Сиделка, Attribute: Specifics=Unknown - 77
File: NWABISH1.CRE, Name: Abishai, Attribute: Animation=UNKNOWN - 0x5B06
File: NWARENA1.CRE, Name: Девушка, Attribute: Animation=UNKNOWN - 0x5D59
File: NWARENA4.CRE, Name: Девушка, Attribute: Animation=UNKNOWN - 0x5D61
File: NWARENA7.CRE, Name: Male, Attribute: Animation=UNKNOWN - 0x5D56
File: NWAURIL1.CRE, Name: Жрица Аурил, Attribute: Specifics=Unknown - 77
File: NWCULT03.CRE, Name: Воин Культа, Attribute: Specifics=Unknown - 2
File: NWCULT04.CRE, Name: Ассасин Культа, Attribute: Specifics=Unknown - 55
File: NWCULT07.CRE, Name: Лидер культа, Attribute: Animation=UNKNOWN - 0x5D4F
File: NWCULT1.CRE, Name: Маг Культа, Attribute: Animation=UNKNOWN - 0x5D4F
File: NWDUM.CRE, Name: Sparring Dummy, Attribute: Sex=Unknown - 158
File: NWFLSKUL.CRE, Name: Flaming Skull, Attribute: Specifics=Unknown - 255
File: NWGOLEM2.CRE, Name: Хранитель Щита, Attribute: Animation=UNKNOWN - 0x504B
File: NWGOLEM3.CRE, Name: Осадный голем, Attribute: Animation=UNKNOWN - 0x504B
File: NWGOLEM4.CRE, Name: Осадный голем, Attribute: Animation=UNKNOWN - 0x504B
File: NWHARPY.CRE, Name: Гарпия, Attribute: Animation=UNKNOWN - 0x5269
File: NWHUG1.CRE, Name: Бывший заключенный, Attribute: Animation=UNKNOWN - 0x5D5D
File: NWHUG1.CRE, Name: Бывший заключенный, Attribute: Specifics=Unknown - 15
File: NWHUG12.CRE, Name: Бывший заключенный, Attribute: Animation=UNKNOWN - 0x5D4D
File: NWHUG2.CRE, Name: Бывший заключенный, Attribute: Specifics=Unknown - 15
File: NWHUG3.CRE, Name: Бывший заключенный, Attribute: Animation=UNKNOWN - 0x5D5D
File: NWHUG8.CRE, Name: Бывший заключенный, Attribute: Animation=UNKNOWN - 0x5D5D
File: NWLEGS1.CRE, Name: Warder, Attribute: Specifics=Unknown - 77
File: NWMERC01.CRE, Name: Merchant, Attribute: Animation=UNKNOWN - 0x5D57
File: NWPLAT1.CRE, Name: Доспех Стража, Attribute: Animation=UNKNOWN - 0x5279
File: NWPRST1.CRE, Name: Жрец Тира, Attribute: Specifics=Unknown - 103
File: NWPRST2.CRE, Name: Жрец Тира, Attribute: Specifics=Unknown - 103
File: NWPRST3.CRE, Name: Жрец Тира, Attribute: Specifics=Unknown - 103
File: NWPRST4.CRE, Name: Жрец Тира, Attribute: Specifics=Unknown - 103
File: NWPRST5.CRE, Name: Жрец Тира, Attribute: Specifics=Unknown - 103
File: NWPRST6.CRE, Name: Жрец Тира, Attribute: Specifics=Unknown - 103
File: NWPRST7.CRE, Name: Жрица Маска, Attribute: Specifics=Unknown - 205
File: NWSHAD01.CRE, Name: Shadow Fiend, Attribute: Animation=UNKNOWN - 0x5B07
File: NWTOWER2.CRE, Name: Mage, Attribute: Animation=UNKNOWN - 0x6847
File: NWTOWER5.CRE, Name: Mage, Attribute: Animation=UNKNOWN - 0x6847
File: NYMPHNW5.CRE, Name: Нифитис, Attribute: Animation=UNKNOWN - 0x5290
File: OBULD.CRE, Name: Обольд Многострельный, Attribute: Specifics=Unknown - 230
File: ORCNW0.CRE, Name: Вождь орков, Attribute: Specifics=Unknown - 18
File: ORCNW1.CRE, Name: Orc, Attribute: Specifics=Unknown - 221
File: ORCNW2.CRE, Name: Orc Archer, Attribute: Specifics=Unknown - 234
File: ORCNW3.CRE, Name: Orc, Attribute: Specifics=Unknown - 221
File: ORCNW4.CRE, Name: Orc Archer, Attribute: Specifics=Unknown - 230
File: ORCNW5.CRE, Name: Орк-герой, Attribute: Specifics=Unknown - 221
File: ORCNW6.CRE, Name: Орк-снайпер, Attribute: Specifics=Unknown - 230
File: ORCNW7.CRE, Name: Orc, Attribute: Specifics=Unknown - 221
File: ORCNW8.CRE, Name: Orc Archer, Attribute: Specifics=Unknown - 230
File: PATROL01.CRE, Name: Патруль Чернозерья, Attribute: Specifics=Unknown - 97
File: PATROL03.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: PATROL04.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: PATROL05.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: PATROL06.CRE, Name: Guard, Attribute: Specifics=Unknown - 255
File: PATROL08.CRE, Name: Guard Captain, Attribute: Specifics=Unknown - 208
File: PATROL09.CRE, Name: Следопыт-орк, Attribute: Specifics=Unknown - 221
File: PETE.CRE, Name: Пит О'Дил, Attribute: Animation=UNKNOWN - 0x5D56
File: PHOEBE.CRE, Name: Феб, Attribute: Animation=UNKNOWN - 0x5D55
File: PLFTOBE6.CRE, Name: Commoner, Attribute: Animation=UNKNOWN - 0x5D59
File: PMTOWN1.CRE, Name: Peasant, Attribute: Animation=UNKNOWN - 0x5D56
File: PMTOWN3.CRE, Name: Peasant, Attribute: Animation=UNKNOWN - 0x5D56
File: PROSTNW1.CRE, Name: Courtesan, Attribute: Animation=UNKNOWN - 0x5D59
File: RELMAR.CRE, Name: Релмар, Attribute: Specifics=Unknown - 2
File: REVAT.CRE, Name: Реват, Attribute: Animation=UNKNOWN - 0x5D56
File: SAPPHIRA.CRE, Name: Сапфира, Attribute: Specifics=Unknown - 77
File: SAULTER.CRE, Name: Солтер, Attribute: Animation=UNKNOWN - 0x5D4D
File: SETARA.CRE, Name: Сетара, Attribute: Animation=UNKNOWN - 0x5D55
File: SETARA.CRE, Name: Сетара, Attribute: Specifics=Unknown - 77
File: SETSERV.CRE, Name: Servant, Attribute: Animation=UNKNOWN - 0x5D4D
File: SETTLER3.CRE, Name: Поселенец, Attribute: Specifics=Unknown - 4
File: SHALDRI1.CRE, Name: Шалдрисса, Attribute: Animation=UNKNOWN - 0x5D59
File: SHALDRI2.CRE, Name: Шалдрисса, Attribute: Animation=UNKNOWN - 0x5D59
File: SHAMANUT.CRE, Name: Shadow Druid, Attribute: Animation=UNKNOWN - 0x5244
File: SILVERBK.CRE, Name: Серебряная спина, Attribute: Animation=UNKNOWN - 0x5262
File: SKELNW04.CRE, Name: Skeleton Mage, Attribute: Animation=UNKNOWN - 0x5D5A
File: SKELNW04.CRE, Name: Skeleton Mage, Attribute: Specifics=Unknown - 209
File: SKELNW05.CRE, Name: Скелет-служитель, Attribute: Specifics=Unknown - 209
File: SKELNW06.CRE, Name: Skeleton, Attribute: Animation=UNKNOWN - 0x5D5B
File: SKELWA04.CRE, Name: Skeleton Warrior, Attribute: Animation=UNKNOWN - 0x528E
File: SKELWNW2.CRE, Name: Skeleton Warrior, Attribute: Animation=UNKNOWN - 0x528E
File: SKELWNW2.CRE, Name: Skeleton Warrior, Attribute: Specifics=Unknown - 209
File: SLAADGR1.CRE, Name: Зеленый слаад, Attribute: Animation=UNKNOWN - 0x524F
File: SLAADRE1.CRE, Name: Красный слаад, Attribute: Animation=UNKNOWN - 0x524F
File: SLAVENW2.CRE, Name: Раб нимфы, Attribute: Animation=UNKNOWN - 0x5D4D
File: SMITHNW1.CRE, Name: Blacksmith, Attribute: Animation=UNKNOWN - 0x5D53
File: SPIDNW0.CRE, Name: Королева Пауков, Attribute: Animation=UNKNOWN - 0x5032
File: SPIDNW3.CRE, Name: Королева Пауков, Attribute: Animation=UNKNOWN - 0x5032
File: STAND.CRE, Name: Стенд, Attribute: Animation=UNKNOWN - 0x5D62
File: SUCUBUS.CRE, Name: Succubus, Attribute: Animation=UNKNOWN - 0x5290
File: SUCUBUS.CRE, Name: Succubus, Attribute: Specifics=Unknown - 99
File: TANIT.CRE, Name: Танит, Attribute: Animation=UNKNOWN - 0x5D56
File: TANIT2.CRE, Name: Танит, Attribute: Animation=UNKNOWN - 0x5D56
File: TORGO.CRE, Name: Торго, Attribute: Animation=UNKNOWN - 0x5D57
File: TOWERGRD.CRE, Name: Страж моста, Attribute: Animation=UNKNOWN - 0x5D4F
File: UTHARD2.CRE, Name: Член племени Утгардтов, Attribute: Specifics=Unknown - 231
File: UTHARD4.CRE, Name: Член племени Утгардтов, Attribute: Specifics=Unknown - 231
File: VAATH.CRE, Name: Ваат, Attribute: Specifics=Unknown - 20
File: VENGAUL.CRE, Name: Венгаул, Attribute: Animation=UNKNOWN - 0x5D5D
File: VENGAUL.CRE, Name: Венгаул, Attribute: Specifics=Unknown - 15
File: VICTIM1.CRE, Name: Горожанин, Attribute: Animation=UNKNOWN - 0x5D55
File: WELCAR.CRE, Name: Велкар, Attribute: Specifics=Unknown - 115
File: WERERAT.CRE, Name: Крыса-оборотень, Attribute: Animation=UNKNOWN - 0x5247
File: WERERAT2.CRE, Name: Крыса-оборотень, Attribute: Animation=UNKNOWN - 0x5247
File: WERERSL.CRE, Name: Крыса-оборотень, Attribute: Animation=UNKNOWN - 0x5247
File: WINTORP.CRE, Name: Винторп, Attribute: Animation=UNKNOWN - 0x5D62
File: YEANASHA.CRE, Name: Йеанаша, Attribute: Specifics=Unknown - 231
File: YETI1.CRE, Name: Йети, Attribute: Animation=UNKNOWN - 0x528B
File: YUSAM.CRE, Name: Юсам, Attribute: Animation=UNKNOWN - 0x5244
File: YUSAM.CRE, Name: Юсам, Attribute: Specifics=Unknown - 117
File: ZAMITRA1.CRE, Name: Замитра, Attribute: Specifics=Unknown - 3
File: ZED.CRE, Name: Зед, Attribute: Specifics=Unknown - 227
File: ZOKAN.CRE, Name: Зокан, Attribute: Animation=UNKNOWN - 0x5280
File: ZOKAN.CRE, Name: Зокан, Attribute: Specifics=Unknown - 228
