Number of hits: 3214
StringRef: 103749, Sound: BRAZIE, Text: 
StringRef: 103868, Sound: T-MAL03B, Text: 
StringRef: 103898, Sound: FEN_HI, Text: Приветствую и добро пожаловать.
StringRef: 103899, Sound: FEN_BAT1, Text: За справедливость!
StringRef: 103900, Sound: FEN_BAT2, Text: Так тебе ничего не приобрести!
StringRef: 103901, Sound: FEN_BAT3, Text: В защиту Правды и Правосудия!
StringRef: 103902, Sound: FEN_ATK2, Text: 
StringRef: 103903, Sound: FEN_ATK3, Text: 
StringRef: 103904, Sound: FEN_HIT1, Text: 
StringRef: 103905, Sound: FEN_DEAD, Text: 
StringRef: 103918, Sound: SHAEL_03, Text: Вы падете здесь!
StringRef: 103919, Sound: SHAEL_05, Text: 
StringRef: 103920, Sound: SHAEL_06, Text: 
StringRef: 103921, Sound: SHAEL_04, Text: 
StringRef: 103923, Sound: F_HARPY1, Text: 
StringRef: 103924, Sound: F_HARPY8, Text: 
StringRef: 103925, Sound: F_HARPY9, Text: 
StringRef: 103935, Sound: T-GBC08A, Text: 
StringRef: 103936, Sound: T-GBC09A, Text: 
StringRef: 103937, Sound: T-GBC01A, Text: 
StringRef: 103938, Sound: T-GBC03B, Text: 
StringRef: 103939, Sound: T-GBC03A, Text: 
StringRef: 103940, Sound: T-GBC07A, Text: 
StringRef: 103941, Sound: T-GBC10A, Text: 
StringRef: 103942, Sound: T-GBC02A, Text: 
StringRef: 103943, Sound: T-GBC04B, Text: 
StringRef: 103944, Sound: T-GBB07A, Text: 
StringRef: 103945, Sound: T-GBB09B, Text: 
StringRef: 103946, Sound: T-GBB01A, Text: 
StringRef: 103947, Sound: T-GBB01B, Text: 
StringRef: 103948, Sound: T-GBB06A, Text: 
StringRef: 103949, Sound: T-GBB03A, Text: 
StringRef: 103950, Sound: T-GBB07B, Text: 
StringRef: 103951, Sound: T-GBB02A, Text: 
StringRef: 103952, Sound: T-GBB02B, Text: 
StringRef: 103957, Sound: AARIN109, Text: Нет? Рэндалл Рыжий в свое время считался самым кровожадным пиратом Побережья Мечей. Я был членом его команды, хоть и не пиратом в полном смысле этого слова.
StringRef: 103958, Sound: AARIN093, Text: У меня не было пристрастия к выпивке, как у других моряков, поэтому в портах я проводил время, завязывая новые знакомства и слушая. С годами Рэндалл стал все больше полагаться на мое умение. Он давал мне золото для поощрения моих информаторов, так что я первым узнавал все новости. Это благодаря мне Рэндаллу всегда удавалось на шаг опережать своих преследователей, потому что я заранее знал, что на нас готовится облава.
StringRef: 103961, Sound: AARIN097, Text: Мне не нравились грабежи и убийства, которыми занимался Рэндалл... и я делал все, что мог, чтобы мягко предотвращать худшие из них. Рэндалл знал, что я делаю, и терпел это только потому, что я был очень ценен для него. Ему было плевать на то, что я съеживался и отворачивался, когда его команда занималась своим кровавым делом. Шли годы, и я стал известным человеком на Побережье Мечей. Жизнь моя принадлежала мне, я был доволен и выполнял свои обязанности так, как считал нужным.
StringRef: 103962, Sound: AARIN105, Text: Мне очень жаль, что вы так думаете. Может быть это потому, что я слишком редко ее рассказываю. Ну, вернемся к более важным делам. Вам что-нибудь нужно?
StringRef: 103982, Sound: F_HARPY3, Text: 
StringRef: 103997, Sound: T-HOO09A, Text: 
StringRef: 103998, Sound: T-HOO01A, Text: 
StringRef: 103999, Sound: T-HOO02A, Text: 
StringRef: 104000, Sound: T-HOO04B, Text: 
StringRef: 104001, Sound: T-HOO08A, Text: 
StringRef: 104002, Sound: T-HOO10A, Text: 
StringRef: 104022, Sound: T-TUM07, Text: 
StringRef: 104023, Sound: T-TUM09, Text: 
StringRef: 104049, Sound: DW1HI, Text: Счастливого дня!
StringRef: 104050, Sound: DW1HEAL, Text: Меня ранили! Исцелите меня!
StringRef: 104051, Sound: DW1BAT1, Text: Кровь девяти бездн!
StringRef: 104052, Sound: DW1BAT2, Text: Моя сила сотрет тебя в порошок!
StringRef: 104053, Sound: DW1BAT3, Text: Умри!
StringRef: 104054, Sound: DW1ATK1, Text: 
StringRef: 104055, Sound: DW1DEAD, Text: 
StringRef: 104056, Sound: DW1SAY, Text: Мне действительно надо поговорить с тобой.
StringRef: 104057, Sound: DW1YES, Text: Да.
StringRef: 104072, Sound: TROLSLCT, Text: 
StringRef: 104073, Sound: TROLBAT1, Text: 
StringRef: 104074, Sound: TROLBAT2, Text: 
StringRef: 104075, Sound: TROLHIT1, Text: 
StringRef: 104076, Sound: TROLDEAD, Text: 
StringRef: 104079, Sound: T-TUM01, Text: 
StringRef: 104080, Sound: T-TUM02, Text: 
StringRef: 104081, Sound: T-TUM03, Text: 
StringRef: 104115, Sound: T-MIN09, Text: 
StringRef: 104116, Sound: T-MIN03, Text: 
StringRef: 104117, Sound: T-MIN07, Text: 
StringRef: 104118, Sound: T-MIN10, Text: 
StringRef: 104141, Sound: YESLK36, Text: Приятно увидеть доброжелателей в наше непростое время.
StringRef: 104142, Sound: YESLK18, Text: Как вам будет угодно.
StringRef: 104148, Sound: T-ABI01, Text: 
StringRef: 104149, Sound: T-ABI02, Text: 
StringRef: 104150, Sound: T-ABI04, Text: 
StringRef: 104151, Sound: T-ABI07, Text: 
StringRef: 104152, Sound: T-ABI08, Text: 
StringRef: 104153, Sound: T-ABI03, Text: 
StringRef: 104176, Sound: T-THS03, Text: 
StringRef: 104179, Sound: T-MAL01A, Text: 
StringRef: 104180, Sound: T-MAL02A, Text: 
StringRef: 104196, Sound: T-DIS01A, Text: 
StringRef: 104197, Sound: T-DIS01B, Text: 
StringRef: 104198, Sound: T-DIS01C, Text: 
StringRef: 104199, Sound: T-DIS03, Text: 
StringRef: 104200, Sound: T-DIS07, Text: 
StringRef: 104201, Sound: T-DIS09, Text: 
StringRef: 104202, Sound: NWSIMB1, Text: 
StringRef: 104203, Sound: NWSIMB2, Text: 
StringRef: 104252, Sound: T-TCF01A, Text: 
StringRef: 104253, Sound: T-TCF01B, Text: 
StringRef: 104254, Sound: T-TUF03, Text: 
StringRef: 104255, Sound: T-TCF07, Text: 
StringRef: 104256, Sound: T-TCF09, Text: 
StringRef: 104260, Sound: T-SKP01, Text: 
StringRef: 104261, Sound: T-SKP02, Text: 
StringRef: 104262, Sound: T-SKP03, Text: 
StringRef: 104263, Sound: T-SKP07, Text: 
StringRef: 104264, Sound: T-SKP09, Text: 
StringRef: 104277, Sound: CENTL01, Text: Мои паукиии!  Убейте их.  Убейте их всех!
StringRef: 104284, Sound:  , Text: Тамора
StringRef: 104308, Sound: T-WRA04A, Text: 
StringRef: 104309, Sound: T-WRA08A, Text: 
StringRef: 104310, Sound: T-WRA01A, Text: 
StringRef: 104311, Sound: T-WRA02A, Text: 
StringRef: 104312, Sound: T-WRA03A, Text: 
StringRef: 104313, Sound: T-WRA07A, Text: 
StringRef: 104314, Sound: T-WRA09A, Text: 
StringRef: 104315, Sound: T-WRA04B, Text: 
StringRef: 104329, Sound: T-ZMM07, Text: 
StringRef: 104330, Sound: T-ZMM10, Text: 
StringRef: 104331, Sound: T-ZMM01, Text: 
StringRef: 104332, Sound: T-ZMM02, Text: 
StringRef: 104333, Sound: T-ZMM03, Text: 
StringRef: 105543, Sound: ALDO051, Text: Тыыыы, осторожно. Если ты мертвый, я сделаю так, что ты будешь еще мертвее!
StringRef: 105576, Sound: ALDO052, Text: Еще живые! Только представьте! Если бы только это был этот идиот Гектор с моими ЗАПЧАСТЯМИ!!
StringRef: 105578, Sound: ALDO053, Text: Нам нужно отправится в безопасное место.
StringRef: 105700, Sound: DRAKE050, Text: Приветствую. Харбен сказал мне, что прибудут дополнительные войска. Но позвольте мне сказать, вы все еще нужны нам здесь. Никогда еще мне не приходилось видеть такого разгула этой мерзости. Нежить обычно появляется со временем, а здесь они восстают еще до того, как труп остынет.
StringRef: 105718, Sound: DRAKE051, Text: А, до меня дошли слухи о ваших свершениях в Невервинтере. Приятно знать, что сегодня вы на нашей стороне. Никогда еще мне не приходилось видеть такого разгула этой мерзости. Нежить обычно появляется со временем, а здесь они восстают еще до того, как труп остынет.
StringRef: 105719, Sound: DRAKE052, Text: А, вы вернулись. Вы хотите снова услышать, что мне известно, или вам нужно что-то еще?
StringRef: 105736, Sound: DRAKE054, Text: Что ж, надо отметить, чтобы вы там ни сделали на этом проклятом кладбище, непосредственная угроза теперь устранена. Конечно, чума все еще существует, но зомби, кажется, больше не угрожают этому району.
StringRef: 105738, Sound: DRAKE055, Text: Мы знали, что можем рассчитывать на то, что вы повторите свои подвиги в этом районе. До нас дошли слухи о ваших прошлых достижениях. Конечно, чума все еще существует, но зомби, кажется, больше не угрожают этому району.
StringRef: 105770, Sound: HARBEN50, Text: Ну и что здесь понадобилось человеку с манерами, как у вас? У меня есть одна минута, поэтому представьтесь побыстрее. У меня очень много дел.
StringRef: 105807, Sound: HARBEN51, Text: Тогда кто вы? Говорите, говорите. У меня сейчас нет лишнего времени на любезности. Слишком много дел.
StringRef: 105808, Sound: HARBEN52, Text: Ну и по какому вы вопросу? Говорите, кто вы, и почему мне стоит тратить на вас время. У меня сейчас очень много дел.
StringRef: 105809, Sound: HARBEN53, Text: Снова вернулись, а? Хотите снова прослушать задание?
StringRef: 105814, Sound: HARBEN55, Text: Так, и кто же вы? У меня нет времени на разговоры. Теперь, когда зомби нам больше не угрожают, нам нужно все привести в порядок.
StringRef: 105837, Sound: HARBEN56, Text: Мы знали, что вы поможете нам, клянусь бакенбардами Вилликера. До нас дошли слухи о ваших подвигах, и мы знали, что вы сможете решить нашу проблему. Если вы в этой суматохе нашли что-нибудь стоящее, сообщите об этом Арибет. Она ведет записи по этому поводу, или что-то в этом роде.
StringRef: 105983, Sound: MATTIL54, Text: Приветствую. Приятно встретить здесь пока что живого человека. Было бы лучше, если бы мы разговаривали где-нибудь в безопасном месте, но мне все равно приятно.
StringRef: 106006, Sound: MATTIL56, Text: Я виню повозку. Не мор, не зомби... повозку.
StringRef: 106068, Sound: WALTER52, Text: Обо мне не волнуйтесь! Просто убейте этого идиота, Дрола! Вперед!
StringRef: 106069, Sound: WALTER55, Text: Он мертв... Я это знаю... Дрол наконец мертв. Поделом ему. Он забрал с собой всех моих старых друзей... "Парни с Побережья Мечей"... все мертвы. Спасибо, что избавились от Дрола. Он несколько дней держал меня здесь. Наверное, напоказ. Меня зовут Уолтерс.
StringRef: 106110, Sound: WALTER55, Text: Дрол наконец мертв. Поделом ему. Естественно, мне хотелось бы отсюда выбраться. Не уверен, что смогу самостоятельно добраться до главных ворот, если зомби все еще там.
StringRef: 106111, Sound: WALTER55, Text: Приветствую вас. Надеюсь, у вас все хорошо. Кажется, ситуация в Гнезде Нищих наконец-то налаживается.
StringRef: 106113, Sound: GULNAN50, Text: Слушайте меня внимательно, мертвецы! Вы хотели использовать меня, принести меня в жертву ради заклинания! Я использовала вас, чтобы освободиться!
StringRef: 106114, Sound: GULNAN51, Text: Вы присоединитесь к моим легионам смерти! У меня были видения! Чешуйчатые будут здесь править! Я захвачу все!
StringRef: 106115, Sound: GULNAN52, Text: Чума ослабляет вас, но укрепляет мою армию! Это благословение! Дар! Вы даже представить себе не можете, какой это дар!
StringRef: 106116, Sound: GULNAN53, Text: Вы не можете отрицать, что чешуйчатые будут править миром! Видите мою силу?! Она невероятна, больше, чем у самого Мерршаулка!
StringRef: 106117, Sound: GULNAN54, Text: Идите, если должны, но вы умрете! Видения никогда не лгут! Я вижу пришествие глаза! Глаза!
StringRef: 106202, Sound: CLAUDUS5, Text: Новичок? Хорошо! Помните: вы проходите по одному раунду зараз, и за каждую победу получаете медаль. Это только ради славы. Никаких денежных наград. Конечно, если пройдете все три раунда, вам придется сразиться со мной. Тогда вы можете выиграть весь этот бар! Поверьте, такого не случится.
StringRef: 106203, Sound: CLAUDUS4, Text: Вы победили Храска? Неудивительно. Он здесь уже несколько недель, и не выиграл ни одного раунда. Он вел раунды, но ни одного не выиграл. Он не может меня победить, да и никто не может. Вот почему я ставлю на кон бар. Никто даже и пробовать не хочет.
StringRef: 106204, Sound: CLAUDUS3, Text: Вы... Победили Фаши, а? Наверное, думаете, что вы сильнее всех?! Не стоит зазнаваться. Агар поставит вас на место. А если не он, то я. Никто меня не одолеет. Если вы думаете, что выйдете отсюда владельцем МОЕГО бара, вы ошибаетесь!
StringRef: 106205, Sound: CLAUDUS2, Text: Довольно! Вы победили Агара, и все. Никто не одолеет Клодуса. Спросите! Я непобедим! Это место принадлежит мне!
StringRef: 106206, Sound: CLAUDUS0, Text: Проклятье! Будьте вы все прокляты! Ладно! Вы выиграли! И что! Это ничего не значит! Я был чемпионом несколько месяцев! Это всем известно! Всем известно...
StringRef: 106279, Sound: FORMOSA1, Text: Кто вы? Из городской стражи, надо полагать. Что вы скажете, <SIRMAAM>? Вы не считаете, что Мелданена надо заставить прекратить скрывать запасы и раздать их? В конце концов, это обязанность самих людей - следить за собой. Что скажешь?
StringRef: 106339, Sound: FORMOSA3, Text: Так вы вернулись, да? Вы передумали, <LADYLORD>? Поможете мне достать ключ и лишить жизни Мелданена?
StringRef: 106341, Sound: FORMOSA4, Text: Так вы вернулись, <LADYLORD>. Есть у вас новости?
StringRef: 106393, Sound: FORMOSA5, Text: Спасибо за вашу помощь.
StringRef: 106638, Sound: MELDAN54, Text: Формоса послала вас убить меня, так ведь! Так ведь?! Почему вы здесь?!
StringRef: 106691, Sound: MELDAN55, Text: Я ухожу. Теперь оставьте меня.
StringRef: 106693, Sound: MELDAN52, Text: До меня дошло, что Формоса действительно мертва, как мы и договаривались. Отличная работа. Вот обещанные 1500 золотых, хотя их трудно было получить. Надеюсь, этого достаточно.
StringRef: 106801, Sound: NWDRYAD8, Text: Я молилась великому дубу о спасителе! Вы добрый <RACE>, да? Буду ли я освобождена, смогу ли слиться со своим деревом?
StringRef: 106832, Sound: NWDRYAD9, Text: Умоляю, отпустите на свободу несчастную служанку дуба! Вы добрый <RACE>, или тоже пришли мучить меня?
StringRef: 107263, Sound: AVISTA52, Text: Ведите себя прилично внутри. Нам совсем незачем тащить внутрь хаос с улиц.
StringRef: 107269, Sound: AVISTA53, Text: Мне здесь неприятности не нужны. Мы вас отсюда вышибем, и не задержимся с этим.
StringRef: 107270, Sound: AVISTA54, Text: Да ничего особенного тут не происходит. Аукцион отменили, и сейчас народ повалит домой.
StringRef: 107395, Sound: CRISTO51, Text: Хмм? Оставь меня в покое, мне нечего сказать. Не хватало еще, чтобы меня видели в обществе кого-то вроде тебя.
StringRef: 107400, Sound: CRISTO53, Text: Неплохое шоу устроил Джалек. Он немного сумасшедший, даже для "Кровавых моряков", но он хороший парень. Умнее, чем кажется на первый взгляд. Что ж, вы завоевали его доверие, и это значит, что я могу рискнуть и поговорить с вами, но постарайтесь не шуметь, хорошо? Отсутствие Венгаула всех заставляет нервничать.
StringRef: 107426, Sound: CRISTO52, Text: Приветствую. Я уже многовато растрепал, но, наверное, я могу рискнуть и ответить на несколько вопросов, если вам действительно нужна информация.
StringRef: 107428, Sound: CRISTO50, Text: Кажется, все налаживается. Нам с тобой не зачем разговаривать. Отличная работа, но тебе пора уходить, пожалуйста.
StringRef: 107486, Sound: DARANE51, Text: Спасибо, что спасли меня... если, конечно, вы именно это сделали. Я не знаю вас, и не знаю ваших мотивов.
StringRef: 107535, Sound: NWDOOR52, Text: Вы вернулись. Что еще я могу сказать вам? Что еще, вы думаете, я знаю?
StringRef: 107536, Sound: NWDOOR50, Text: Кто там еще? Опять люди с угрозами? Мне не следует ничего говорить. У меня была надежда, что кто-то поможет... но теперь я никому не могу доверять, ведь Венгаула нет!
StringRef: 107537, Sound: FESTIL50, Text: Кинете монетку, дружище?
StringRef: 107557, Sound: FESTIL51, Text: Вернулись к Фестильярду? Я сегодня пользуюсь успехом. Хотите узнать у нищего, какой путь ждет вас впереди?
StringRef: 107693, Sound: JALEK51, Text: Что ж, опять все суют нос в мои дела. Хочешь испытать удачу? Выпьем вместе? Хочешь завоевать мое уважение?!
StringRef: 107728, Sound: JALEK53, Text: Ты кто, тупица? Ты не знаешь, что не стоит никогда отвлекать «Кровавого моряка», пока он пьет?
StringRef: 107729, Sound: JALEK52, Text: Хмм... я тебя знаю? На тебе форма, но я не узнаю тебя в лицо. Ты давно в кровавых моряках, <GIRLBOY>?
StringRef: 107737, Sound: JALEK54, Text: Вот бесова штука, мне такого еще не приходилось видеть. Со мной и Кристовом у тебя проблем не будет. Это точно.
StringRef: 107752, Sound: JALEK50, Text: Вечеринка почти закончилась. Нечего тут больше делать.
StringRef: 107802, Sound: NWDOOR50, Text: Подойдите к двери и дайте мне взглянуть на вас, ладно?
StringRef: 107824, Sound: NWDOOR51, Text: Ну, в чем дело? Опять какой-то сброд штурмует таверну? Дайте-ка взглянуть на вас.
StringRef: 107901, Sound: VENGAU50, Text: Отличная драка! Вы продемонстрировали силу, победив Каллика. Этот паренек пытался мне помешать. И у него абсолютно не было чувства стиля. И все же, судя по вашему суровому виду я полагаю, что мои неприятности еще не окончились, правда?
StringRef: 107936, Sound: BRIGAN56, Text: Во имя Джимини, сколько же вас тут? Должно быть, вы друзья доброго человека Дестера.
StringRef: 107960, Sound: DESTH161, Text: Я уничтожен... ты молодец, дружочек. Вот предатель и пойман. И что теперь?
StringRef: 107988, Sound: DESTH162, Text: Ты не торопишься доставить меня к Нашеру и вашей бесценной леди Арибет. Быстрее, довольно мародерства. Давай закончим этот фарс.
StringRef: 107989, Sound: DUMAL50, Text: Здравствуйте, я Дюмаль, Рыцарь-хранитель Хельма. Приятно видеть здравомыслящее лицо среди сумасшедших. Думаю, сидеть взаперти лучше, чем когда тебя пытают, но, по крайней мере, во время этих собраний можно было уйти, если надоедала риторика.
StringRef: 108000, Sound: DUMAL51, Text: Надеюсь, ваша битва пройдет удачно. Вам нужна моя помощь?
StringRef: 108001, Sound: FENTH241, Text: И вот я перед вами... глупец. Я остаюсь здесь... с мертвыми... за последние часы меня научили большему... чем я заслуживаю.
StringRef: 108002, Sound: FENTH242, Text: Он предатель. Дестер. Я помог ему, а потом отправился за ним, чтобы удостовериться, что его обман - это ошибка. Я думал он... Он вернется! Ведь вернется, да?
StringRef: 108033, Sound: FENTH269, Text: Дестеру нужна была моя помощь... Тогда он смог бы доказать, что он достоин доверия. Я здесь, чтобы... чтобы облегчить свою совесть...
StringRef: 108098, Sound: MORAG054, Text: Да, вы пришли, чтобы отыскать предателя, разносчика болезни... Вы - яркий луч жизни среди нежити.
StringRef: 108099, Sound: MORAG055, Text: Ходячие трупы - это такое нововведение, хотя... хорошие... люди из Замка какое-то время молчали.
StringRef: 108100, Sound: MORAG056, Text: Это "лже-хельмиты", они выгнали всех настоящих, но теперь даже их Дестеру не хватает, так что он создает себе стремительную армию нежити.
StringRef: 108104, Sound: MORAG057, Text: Я здесь не для того, чтобы отвечать на ваши вопросы. Я рассказываю лишь то, что пожелаю. Если вас это не устраивает, можете уходить.
StringRef: 108105, Sound: MORAG058, Text: Дестер укрепляется здесь потому, что его роль почти отыграна. Его бросили. Нет у него больше мостов, чтобы сжечь.
StringRef: 108106, Sound: MORAG059, Text: Умерших очень много, поэтому он и окружает себя трупами. Но и этого недостаточно. Ему уготована смерть, дни его земные сочтены.
StringRef: 108109, Sound: MORAG060, Text: Я здесь не для того, чтобы помогать, меня вообще здесь нет. Я говорю лишь затем, чтобы вы знали, что все это предопределено.
StringRef: 108110, Sound: MORAG061, Text: Дестер сослужил свою службу, а теперь пытается обмануть судьбу. Невервинтеру придется научиться принимать такие вещи, пусть даже вы и схватите его. Хорошенько запомните этот урок.
StringRef: 108136, Sound: ARIBE051, Text: Добро пожаловать, <CHARNAME>. Я - леди Арибет де Тильмаранд, паладин в услужении Тира и правая рука Нашера Алагондара, правителя Невервинтера. Я ожидала вас.
StringRef: 108140, Sound: ARIBE054, Text: Вы нужны Невервинтеру, чтобы пережить Воющую Смерть. Нападение на Академию лишило город его последней, слабенькой надежды. Мне нужно, чтобы вы вернули то, что мы потеряли, <CHARNAME>.
StringRef: 108145, Sound: ARIBE055, Text: Я знала, что могу на вас рассчитывать, <CHARNAME>. О чуме сочиняют много небылиц, но если вы хотите мне помочь, то вам необходимо узнать всю правду о Воющей Смерти.
StringRef: 108146, Sound: ARIBE120, Text: Вы будете отчитываться лишь передо мной, <CHARNAME>, а я дам вам полную свободу в ваших действиях.
StringRef: 108147, Sound: ARIBE121, Text: Я обещаю, что все ваши усилия будут должным образом вознаграждены. О чуме сочиняют много небылиц, но если вы хотите мне помочь, то вам необходимо узнать всю правду о Воющей Смерти.
StringRef: 108148, Sound: ARIBE125, Text: Отлично, <CHARNAME>! Я знала, что вы меня не подведете!
StringRef: 108153, Sound: ARIBE057, Text: Наши божественные целители ничем не могут помочь жертвам Воющей смерти, и даже наши сильнейшие маги не могут поставить на ноги тех, кто подхватил эту болезнь.
StringRef: 108154, Sound: ARIBE126, Text: Я слышала про проблемы в Гнезде Нищих. И за всем стояло это мерзкое существо? Как будто одной чумы недостаточно. Вы блестяще преуспели там, где все остальные потерпели неудачу! Невервинтер в долгу перед вами. Борьба с чумой истощила казну Невервинтера. Сожалею, но за все ваши заслуги я не могу предложить вам больше, чем 2000 золотых.
StringRef: 108155, Sound: ARIBE127, Text: Так поэтому мы потеряли связь с узниками тюрьмы? Как будто одной чумы недостаточно. Вы блестяще преуспели там, где все остальные потерпели неудачу! Невервинтер в долгу перед вами. Борьба с чумой истощила казну Невервинтера. Сожалею, но за все ваши заслуги я не могу предложить вам больше, чем 2000 золотых.
StringRef: 108156, Sound: ARIBE128, Text: Стыдно смотреть на то, как плохо обращаются с таким нежным существом. Чума и без нас приносит достаточно вреда. Вы блестяще преуспели там, где все остальные потерпели неудачу! Невервинтер в долгу перед вами. Борьба с чумой истощила казну Невервинтера. Сожалею, но за все ваши заслуги я не могу предложить вам больше, чем 2000 золотых.
StringRef: 108157, Sound: ARIBE129, Text: Этот старый мерзавец? Думаю, такие люди не пойдут ни на какие уступки даже в эти темные времена. Вы блестяще преуспели там, где все остальные потерпели неудачу! Невервинтер в долгу перед вами. Борьба с чумой истощила казну Невервинтера. Сожалею, но за все ваши заслуги я не могу предложить вам больше, чем 2000 золотых.
StringRef: 108158, Sound: ARIBE058, Text: Совсем недавно мы узнали, что Кельбен «Черный Посох» Арунсун, знаменитый архимаг Уотердипа, нашел чудодейственное лекарство, которое можно составить из частей четырех редких магических существ.
StringRef: 108162, Sound: ARIBE135, Text: Вы заслужили себе почетное место среди тех, кто пытался помочь Невервинтеру в эти трудные времена. Вместе с нами вы будете участвовать в ритуале изготовления лекарства. Вы готовы отправится в ритуальную палату? Нужно идти как можно скорее.
StringRef: 108165, Sound: ARIBE059, Text: В строжайшем секрете этих существ собрали в Уотердипе, а потом отправили сюда, в Невервинтер, странный такой зверинец: кокатрис, мозгоед, йань-ти и дриада.
StringRef: 108166, Sound: ARIBE137, Text: Тогда не будем терять времени - Невервинтер уже достаточно настрадался!
StringRef: 108168, Sound: ARIBE138, Text: У вас есть полное право быть вместе с теми, кто пытался помочь Невервинтеру в это тяжкое время. Я дам вам несколько минут на подготовку. Но поторопитесь, <CHARNAME> - Невервинтер уже достаточно страдал. Возвращайтесь и скажите мне, когда будете готовы.
StringRef: 108169, Sound: ARIBE060, Text: Я приказала отправить их в Академию, знаменитый невервинтерский институт для всех искателей приключений. Когда-то я сама училась там, поэтому и решила, что тренеры и студенты преданы лорду Нашеру. А потом кто-то напал на Академию.
StringRef: 108171, Sound: ARIBE062, Text: Нападение застало нас врасплох. После этой бойни в Академии в живых осталась лишь горстка людей, среди которых и вы. Фентик и Дестер прибыли с подкреплением, но во всей этой суматохе уотердипские существа разбежались по улицам Невервинтера - а вместе с ними и все наши надежды на лекарство.
StringRef: 108175, Sound: ARIBE061, Text: Возможно, в Академии завелся предатель. А может, по словам Дестера, мне не следовало верить в то, что тренеры, студенты и персонал сохранят этот секрет.
StringRef: 108176, Sound: ARIBE064, Text: У вас два задания, <CHARNAME>. Во-первых, найти уотердипских существ и доставить их ко мне любой ценой. Нужно добыть из них вещества, чтобы изготовить лекарство от Воющей Смерти. Это самое важное задание.
StringRef: 108177, Sound: ARIBE066, Text: Во-вторых, нужно узнать, кто стоял за этим нападением на Академию. Все, что вы узнаете об этом, необходимо доложить Фентику. Именно ему поручено разоблачить неизвестного врага.
StringRef: 108183, Sound: ARIBE073, Text: Я прошу вас проявить благоразумие, <CHARNAME>. Новости о нападении и странных существах, бродящих по городу, лишь усилят панику и хаос на наших и без того беспокойных улицах. Я вряд ли смогу сказать тебе что-то еще о задании. Как только тебе понадобятся припасы, возвращайся и поговори со мной, я смогу продать тебе их через лавку, здесь в храме Тира.
StringRef: 108184, Sound: ARIBE072, Text: Что бы за награду вы ни искали - известность, деньги, славу - вы получите все сполна. Но лишь если вы преуспеете в этом деле.
StringRef: 108185, Sound: ARIBE070, Text: Ваши умения и храбрость очевидны, и я знаю, что вы не с теми, кто хочет уничтожить Невервинтер. Городская стража мало чем может помочь в поисках; им едва хватает людей для поддержания порядка на улицах Невервинтера. А у других, как у меня и Фентика, есть другие дела, требующие нашего постоянного присутствия здесь.
